threshold,tp,fp,tn,fn,flagged,precision,recall,fpr,intervention_rate,loss_avoided,fp_cost,net_value
0.055,1393,11822,73676,1690,13215,0.10541051835035944,0.45183263055465456,0.13827224028632248,0.14918549124530092,155982.1232,236440.0,-80457.8768
0.056,1393,11822,73676,1690,13215,0.10541051835035944,0.45183263055465456,0.13827224028632248,0.14918549124530092,155982.1232,236440.0,-80457.8768
0.057,1393,11822,73676,1690,13215,0.10541051835035944,0.45183263055465456,0.13827224028632248,0.14918549124530092,155982.1232,236440.0,-80457.8768
0.058,1393,11821,73677,1690,13214,0.1054184955350386,0.45183263055465456,0.13826054410629487,0.14917420214267169,155982.1232,236420.0,-80437.8768
0.059000000000000004,1366,11427,74071,1717,12793,0.10677714375048855,0.4430749270191372,0.13365224917541932,0.144421489935765,151165.0608,228540.0,-77374.9392
0.06,1366,11426,74072,1717,12792,0.1067854909318324,0.4430749270191372,0.1336405529953917,0.14441020083313577,151165.0608,228520.0,-77354.9392
0.061,1366,11426,74072,1717,12792,0.1067854909318324,0.4430749270191372,0.1336405529953917,0.14441020083313577,151165.0608,228520.0,-77354.9392
0.062,1115,7563,77935,1968,8678,0.1284858262272413,0.3616607200778463,0.08845820954876138,0.09796683261647532,113985.52800000003,151260.0,-37274.471999999965
0.063,1115,7563,77935,1968,8678,0.1284858262272413,0.3616607200778463,0.08845820954876138,0.09796683261647532,113985.52800000003,151260.0,-37274.471999999965
0.064,1115,7563,77935,1968,8678,0.1284858262272413,0.3616607200778463,0.08845820954876138,0.09796683261647532,113985.52800000003,151260.0,-37274.471999999965
0.065,1115,7563,77935,1968,8678,0.1284858262272413,0.3616607200778463,0.08845820954876138,0.09796683261647532,113985.52800000003,151260.0,-37274.471999999965
0.066,1115,7563,77935,1968,8678,0.1284858262272413,0.3616607200778463,0.08845820954876138,0.09796683261647532,113985.52800000003,151260.0,-37274.471999999965
0.067,1114,7563,77935,1969,8677,0.12838538665437363,0.3613363606876419,0.08845820954876138,0.09795554351384608,113386.32800000004,151260.0,-37873.67199999996
0.068,1114,7563,77935,1969,8677,0.12838538665437363,0.3613363606876419,0.08845820954876138,0.09795554351384608,113386.32800000004,151260.0,-37873.67199999996
0.069,1114,7563,77935,1969,8677,0.12838538665437363,0.3613363606876419,0.08845820954876138,0.09795554351384608,113386.32800000004,151260.0,-37873.67199999996
0.07,992,5975,79523,2091,6967,0.1423855317927372,0.32176451508271164,0.06988467566492783,0.07865117801785936,90955.5984,119500.0,-28544.401599999997
0.07100000000000001,992,5975,79523,2091,6967,0.1423855317927372,0.32176451508271164,0.06988467566492783,0.07865117801785936,90955.5984,119500.0,-28544.401599999997
0.07200000000000001,915,5097,80401,2168,6012,0.15219560878243513,0.296788842036977,0.05961542960069242,0.0678700850069428,84668.50800000002,101940.0,-17271.491999999984
0.073,915,5097,80401,2168,6012,0.15219560878243513,0.296788842036977,0.05961542960069242,0.0678700850069428,84668.50800000002,101940.0,-17271.491999999984
0.074,915,5097,80401,2168,6012,0.15219560878243513,0.296788842036977,0.05961542960069242,0.0678700850069428,84668.50800000002,101940.0,-17271.491999999984
0.075,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.076,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.077,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.078,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.079,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.08,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.081,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.082,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.083,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.084,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.085,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.08600000000000001,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.08700000000000001,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
