verify_probability,review_probability,hold_probability,verify_expected_loss,review_expected_loss,hold_expected_loss,transactions,fraud_transactions,legitimate_transactions,challenged_count,challenge_rate,fraud_challenged,fraud_capture_rate,legitimate_challenged,legitimate_challenge_rate,challenge_precision,baseline_actual_loss,residual_actual_loss,actual_loss_avoided,loss_avoidance_rate,mean_probability
0.1,0.3,0.6,75.0,750.0,1200.0,88581,3042,85539,5619,0.06343346767365463,796,0.2616699539776463,4823,0.05638363787278317,0.1416622174764193,397526.0704,296176.032,101350.03840000002,0.2549519288081389,0.03434145019812375
0.1,0.3,0.6,75.0,750.0,1500.0,88581,3042,85539,5619,0.06343346767365463,796,0.2616699539776463,4823,0.05638363787278317,0.1416622174764193,397526.0704,296176.032,101350.03840000002,0.2549519288081389,0.03434145019812375
0.1,0.3,0.6,100.0,300.0,700.0,88581,3042,85539,5542,0.06256420677120375,795,0.2613412228796844,4747,0.05549515425712248,0.14345001804402743,397526.0704,298320.832,99205.23840000003,0.24955655939792176,0.03434145019812375
0.1,0.3,0.6,100.0,300.0,800.0,88581,3042,85539,5542,0.06256420677120375,795,0.2613412228796844,4747,0.05549515425712248,0.14345001804402743,397526.0704,298320.832,99205.23840000003,0.24955655939792176,0.03434145019812375
0.1,0.3,0.6,100.0,300.0,1000.0,88581,3042,85539,5542,0.06256420677120375,795,0.2613412228796844,4747,0.05549515425712248,0.14345001804402743,397526.0704,298320.832,99205.23840000003,0.24955655939792176,0.03434145019812375
0.1,0.3,0.6,100.0,300.0,1200.0,88581,3042,85539,5542,0.06256420677120375,795,0.2613412228796844,4747,0.05549515425712248,0.14345001804402743,397526.0704,298320.832,99205.23840000003,0.24955655939792176,0.03434145019812375
0.1,0.3,0.6,100.0,300.0,1500.0,88581,3042,85539,5542,0.06256420677120375,795,0.2613412228796844,4747,0.05549515425712248,0.14345001804402743,397526.0704,298320.832,99205.23840000003,0.24955655939792176,0.03434145019812375
0.1,0.3,0.6,100.0,400.0,700.0,88581,3042,85539,5542,0.06256420677120375,795,0.2613412228796844,4747,0.05549515425712248,0.14345001804402743,397526.0704,298320.832,99205.23840000003,0.24955655939792176,0.03434145019812375
0.1,0.3,0.6,100.0,400.0,800.0,88581,3042,85539,5542,0.06256420677120375,795,0.2613412228796844,4747,0.05549515425712248,0.14345001804402743,397526.0704,298320.832,99205.23840000003,0.24955655939792176,0.03434145019812375
0.1,0.3,0.6,100.0,400.0,1000.0,88581,3042,85539,5542,0.06256420677120375,795,0.2613412228796844,4747,0.05549515425712248,0.14345001804402743,397526.0704,298320.832,99205.23840000003,0.24955655939792176,0.03434145019812375
0.1,0.3,0.6,100.0,400.0,1200.0,88581,3042,85539,5542,0.06256420677120375,795,0.2613412228796844,4747,0.05549515425712248,0.14345001804402743,397526.0704,298320.832,99205.23840000003,0.24955655939792176,0.03434145019812375
0.1,0.3,0.6,100.0,400.0,1500.0,88581,3042,85539,5542,0.06256420677120375,795,0.2613412228796844,4747,0.05549515425712248,0.14345001804402743,397526.0704,298320.832,99205.23840000003,0.24955655939792176,0.03434145019812375
0.1,0.3,0.6,100.0,500.0,700.0,88581,3042,85539,5542,0.06256420677120375,795,0.2613412228796844,4747,0.05549515425712248,0.14345001804402743,397526.0704,298320.832,99205.23840000003,0.24955655939792176,0.03434145019812375
0.1,0.3,0.6,100.0,500.0,800.0,88581,3042,85539,5542,0.06256420677120375,795,0.2613412228796844,4747,0.05549515425712248,0.14345001804402743,397526.0704,298320.832,99205.23840000003,0.24955655939792176,0.03434145019812375
