policy_family,intervention_count,fpr_budget,tp,fp,tn,fn,precision,recall,fpr,intervention_rate,verify_count,review_count,hold_count,loss_avoided,intervention_cost,net_value
LOW_FRICTION,518,0.0025,348,170,85369,2694,0.6718146718146718,0.11439842209072978,0.0019873975613462864,0.005847755161942177,518,0,0,52932.54639999999,10360.0,42572.54639999999
LOW_FRICTION,519,0.0025,349,170,85369,2693,0.6724470134874759,0.11472715318869164,0.0019873975613462864,0.005859044264571409,519,0,0,53006.1464,10380.0,42626.1464
LOW_FRICTION,520,0.0025,349,171,85368,2693,0.6711538461538461,0.11472715318869164,0.001999088135236559,0.005870333367200642,520,0,0,53006.1464,10400.0,42606.1464
LOW_FRICTION,521,0.0025,349,172,85367,2693,0.6698656429942419,0.11472715318869164,0.002010778709126831,0.005881622469829873,521,0,0,53006.1464,10420.0,42586.1464
LOW_FRICTION,522,0.0025,350,172,85367,2692,0.6704980842911877,0.11505588428665352,0.002010778709126831,0.005892911572459105,522,0,0,53433.346399999995,10440.0,42993.346399999995
LOW_FRICTION,523,0.0025,351,172,85367,2691,0.6711281070745698,0.11538461538461539,0.002010778709126831,0.005904200675088337,523,0,0,53833.346399999995,10460.0,43373.346399999995
LOW_FRICTION,524,0.0025,352,172,85367,2690,0.6717557251908397,0.11571334648257725,0.002010778709126831,0.0059154897777175695,524,0,0,53926.94639999999,10480.0,43446.94639999999
LOW_FRICTION,525,0.0025,352,173,85366,2690,0.6704761904761904,0.11571334648257725,0.0020224692830171035,0.005926778880346801,525,0,0,53926.94639999999,10500.0,43426.94639999999
LOW_FRICTION,526,0.0025,352,174,85365,2690,0.6692015209125475,0.11571334648257725,0.0020341598569073756,0.005938067982976033,526,0,0,53926.94639999999,10520.0,43406.94639999999
LOW_FRICTION,527,0.0025,353,174,85365,2689,0.6698292220113852,0.11604207758053912,0.0020341598569073756,0.005949357085605266,527,0,0,53996.788,10540.0,43456.788
LOW_FRICTION,528,0.0025,354,174,85365,2688,0.6704545454545454,0.11637080867850098,0.0020341598569073756,0.005960646188234497,528,0,0,54052.0712,10560.0,43492.0712
LOW_FRICTION,529,0.0025,354,175,85364,2688,0.6691871455576559,0.11637080867850098,0.0020458504307976477,0.005971935290863729,529,0,0,54052.0712,10580.0,43472.0712
LOW_FRICTION,530,0.0025,354,176,85363,2688,0.6679245283018868,0.11637080867850098,0.00205754100468792,0.005983224393492961,530,0,0,54052.0712,10600.0,43452.0712
LOW_FRICTION,531,0.0025,354,177,85362,2688,0.6666666666666666,0.11637080867850098,0.0020692315785781922,0.005994513496122194,531,0,0,54052.0712,10620.0,43432.0712
LOW_FRICTION,532,0.0025,355,177,85362,2687,0.6672932330827067,0.11669953977646286,0.0020692315785781922,0.006005802598751425,532,0,0,54083.6472,10640.0,43443.6472
LOW_FRICTION,533,0.0025,355,178,85361,2687,0.6660412757973734,0.11669953977646286,0.0020809221524684647,0.006017091701380657,533,0,0,54083.6472,10660.0,43423.6472
LOW_FRICTION,534,0.0025,355,179,85360,2687,0.6647940074906367,0.11669953977646286,0.002092612726358737,0.006028380804009889,534,0,0,54083.6472,10680.0,43403.6472
LOW_FRICTION,535,0.0025,356,179,85360,2686,0.6654205607476635,0.11702827087442472,0.002092612726358737,0.0060396699066391215,535,0,0,54103.02559999999,10700.0,43403.02559999999
LOW_FRICTION,536,0.0025,357,179,85360,2685,0.6660447761194029,0.11735700197238659,0.002092612726358737,0.006050959009268353,536,0,0,54136.716799999995,10720.0,43416.716799999995
LOW_FRICTION,537,0.0025,357,180,85359,2685,0.664804469273743,0.11735700197238659,0.0021043033002490093,0.006062248111897585,537,0,0,54136.716799999995,10740.0,43396.716799999995
LOW_FRICTION,538,0.0025,357,181,85358,2685,0.6635687732342007,0.11735700197238659,0.0021159938741392814,0.006073537214526817,538,0,0,54136.716799999995,10760.0,43376.716799999995
LOW_FRICTION,539,0.0025,357,182,85357,2685,0.6623376623376623,0.11735700197238659,0.002127684448029554,0.0060848263171560495,539,0,0,54136.716799999995,10780.0,43356.716799999995
LOW_FRICTION,540,0.0025,358,182,85357,2684,0.662962962962963,0.11768573307034845,0.002127684448029554,0.006096115419785281,540,0,0,54165.04639999999,10800.0,43365.04639999999
LOW_FRICTION,541,0.0025,359,182,85357,2683,0.6635859519408502,0.11801446416831032,0.002127684448029554,0.006107404522414513,541,0,0,54565.04639999999,10820.0,43745.04639999999
LOW_FRICTION,542,0.0025,359,183,85356,2683,0.6623616236162362,0.11801446416831032,0.002139375021919826,0.006118693625043746,542,0,0,54565.04639999999,10840.0,43725.04639999999
LOW_FRICTION,543,0.0025,360,183,85356,2682,0.6629834254143646,0.11834319526627218,0.002139375021919826,0.006129982727672977,543,0,0,54921.04639999999,10860.0,44061.04639999999
LOW_FRICTION,544,0.0025,360,184,85355,2682,0.6617647058823529,0.11834319526627218,0.0021510655958100985,0.006141271830302209,544,0,0,54921.04639999999,10880.0,44041.04639999999
LOW_FRICTION,545,0.0025,360,185,85354,2682,0.6605504587155964,0.11834319526627218,0.0021627561697003706,0.006152560932931441,545,0,0,54921.04639999999,10900.0,44021.04639999999
LOW_FRICTION,546,0.0025,361,185,85354,2681,0.6611721611721612,0.11867192636423406,0.0021627561697003706,0.0061638500355606736,546,0,0,55161.04639999999,10920.0,44241.04639999999
LOW_FRICTION,547,0.0025,361,186,85353,2681,0.659963436928702,0.11867192636423406,0.002174446743590643,0.006175139138189905,547,0,0,55161.04639999999,10940.0,44221.04639999999
LOW_FRICTION,548,0.0025,362,186,85353,2680,0.6605839416058394,0.11900065746219593,0.002174446743590643,0.006186428240819137,548,0,0,55177.04639999999,10960.0,44217.04639999999
LOW_FRICTION,549,0.0025,362,187,85352,2680,0.6593806921675774,0.11900065746219593,0.002186137317480915,0.006197717343448369,549,0,0,55177.04639999999,10980.0,44197.04639999999
LOW_FRICTION,550,0.0025,362,188,85351,2680,0.6581818181818182,0.11900065746219593,0.0021978278913711872,0.0062090064460776015,550,0,0,55177.04639999999,11000.0,44177.04639999999
LOW_FRICTION,551,0.0025,363,188,85351,2679,0.6588021778584392,0.11932938856015779,0.0021978278913711872,0.006220295548706833,551,0,0,55257.04639999999,11020.0,44237.04639999999
LOW_FRICTION,552,0.0025,364,188,85351,2678,0.6594202898550725,0.11965811965811966,0.0021978278913711872,0.006231584651336065,552,0,0,55337.04639999999,11040.0,44297.04639999999
LOW_FRICTION,553,0.0025,364,189,85350,2678,0.6582278481012658,0.11965811965811966,0.0022095184652614597,0.006242873753965298,553,0,0,55337.04639999999,11060.0,44277.04639999999
LOW_FRICTION,554,0.0025,364,190,85349,2678,0.6570397111913358,0.11965811965811966,0.002221209039151732,0.006254162856594529,554,0,0,55337.04639999999,11080.0,44257.04639999999
LOW_FRICTION,555,0.0025,364,191,85348,2678,0.6558558558558558,0.11965811965811966,0.0022328996130420043,0.006265451959223761,555,0,0,55337.04639999999,11100.0,44237.04639999999
LOW_FRICTION,556,0.0025,364,192,85347,2678,0.6546762589928058,0.11965811965811966,0.0022445901869322764,0.006276741061852993,556,0,0,55337.04639999999,11120.0,44217.04639999999
LOW_FRICTION,557,0.0025,365,192,85347,2677,0.6552962298025135,0.11998685075608152,0.0022445901869322764,0.006288030164482226,557,0,0,55737.04639999999,11140.0,44597.04639999999
LOW_FRICTION,558,0.0025,365,193,85346,2677,0.6541218637992832,0.11998685075608152,0.002256280760822549,0.006299319267111457,558,0,0,55737.04639999999,11160.0,44577.04639999999
LOW_FRICTION,559,0.0025,365,194,85345,2677,0.6529516994633273,0.11998685075608152,0.002267971334712821,0.006310608369740689,559,0,0,55737.04639999999,11180.0,44557.04639999999
LOW_FRICTION,560,0.0025,366,194,85345,2676,0.6535714285714286,0.1203155818540434,0.002267971334712821,0.006321897472369921,560,0,0,55747.4736,11200.0,44547.4736
LOW_FRICTION,561,0.0025,366,195,85344,2676,0.6524064171122995,0.1203155818540434,0.0022796619086030935,0.0063331865749991535,561,0,0,55747.4736,11220.0,44527.4736
LOW_FRICTION,562,0.0025,366,196,85343,2676,0.6512455516014235,0.1203155818540434,0.0022913524824933655,0.006344475677628385,562,0,0,55747.4736,11240.0,44507.4736
LOW_FRICTION,563,0.0025,366,197,85342,2676,0.650088809946714,0.1203155818540434,0.002303043056383638,0.006355764780257617,563,0,0,55747.4736,11260.0,44487.4736
LOW_FRICTION,564,0.0025,366,198,85341,2676,0.648936170212766,0.1203155818540434,0.00231473363027391,0.00636705388288685,564,0,0,55747.4736,11280.0,44467.4736
LOW_FRICTION,565,0.0025,366,199,85340,2676,0.647787610619469,0.1203155818540434,0.0023264242041641826,0.0063783429855160815,565,0,0,55747.4736,11300.0,44447.4736
LOW_FRICTION,566,0.0025,367,199,85340,2675,0.6484098939929329,0.12064431295200526,0.0023264242041641826,0.006389632088145313,566,0,0,55759.4736,11320.0,44439.4736
LOW_FRICTION,567,0.0025,368,199,85340,2674,0.6490299823633157,0.12097304404996713,0.0023264242041641826,0.006400921190774545,567,0,0,55797.836800000005,11340.0,44457.836800000005
